NO! NO! NO! Common misconceptions,remaining text,word count,Google hits,lot of noise (i.e. myth busting) in search result,Google search,category,Source Name,source,source,source,source,source
Humans and dinosaurs co-existed,"Despite 59% of US adults thinking they did, we actually missed each other by ~63 million years.",17,"259,000",y,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&sclient=psy-ab&q=%22humans+and+dinosaurs+coexisted%22&oq=%22humans+and+dinosaurs+coexisted%22&gs_l=serp.12..0i10i30j0i5i30l3.936.6381.100.10038.14.14.0.0.0.1.184.1441.9j5.14.0.les%3B..0.0...1c.1.nM3CpHkhIQg&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",science/nature,Science Daily,http://www.sciencedaily.com/releases/2009/03/090312115133.htm,,,,
Humans evolved from chimpanzees,"No - they are our closest living genetic relatives, along with bonobos. A shared ancestor last lived 5-8 million years ago.",21,"300,000",,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&sclient=psy-ab&q=%22Humans+evolved+from+chimpanzees%22&oq=%22Humans+evolved+from+chimpanzees%22&gs_l=serp.12..0j0i30j0i5i30l2.25855.40489.97.43332.45.35.9.0.0.5.179.3480.24j11.35.0.les%3B..0.0...1c.1.YgP8_cGHhKM&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",science/nature,"PBS, National Geographic, Wilson & Reeder's Mammal Species of the World (3rd ed.)",http://www.pbs.org/wgbh/evolution/library/faq/cat02.html#Q01,http://news.nationalgeographic.com/news/2001/07/0712_ethiopianbones.html,http://www.bucknell.edu/msw3/browse.asp?id=12100001,http://news.sciencemag.org/plants-animals/2012/06/bonobos-join-chimps-closest-human-relatives,
"If you've used LSD, you're legally insane.",Urban myth,2,"898,000",,"https://www.google.com/search?q=salt+make+water+boil&oq=salt+make+water+boil&sourceid=chrome&ie=UTF-8#hl=en&tbo=d&sclient=psy-ab&q=LSD+users+legally+insane&oq=LSD+users+legally+insane&gs_l=serp.3..33i29.17420.20736.1.20786.24.23.0.1.1.0.169.2328.14j8.22.0.les%3B..0.0...1c.1.xW0cOw5TYW0&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=c07a51cc249778de&biw=1023&bih=1215",drugs,"DEA, Erowid, Snopes.com",http://www.justice.gov/osg/briefs/1987/sg870439.txt,http://www.erowid.org/chemicals/lsd/lsd_myth8.shtml,http://www.snopes.com/legal/lsdcrazy.asp,,
Immaculate Conception means Virgin Birth,Separate ideas. Immaculate conception means Mary was not subject to original sin. Virgin birth means Mary miraculously conceived,18,"118,000","""immaculate conception"" NEAR ""virgin birth""",,religion,BBC,http://www.bbc.co.uk/religion/religions/christianity/beliefs/immaculateconception.shtml,,,,
Iron Maidens,Never were medieval torture devices. But 18th century fakes created for sensational circuses. ,13,"414,000",,"https://www.google.co.uk/webhp?hl=en&tab=ww#hl=en&tbo=d&sclient=psy-ab&q=%22Iron+Maidens%22+torture&oq=%22Iron+Maidens%22+torture&gs_l=hp.3..0j0i30.5041.12263.0.12714.11.11.0.0.0.0.86.883.11.11.0.les%3B..0.0...1c.1j2.PkWBGwFqiRI&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",history,"Graff, Klaus. ",http://web.archive.org/web/20040828060227/http://www.mondzauberin.de/einstieg/informativ/essays/essays3/BerlinOnline+Die+unsichtbare+H/vortrag.html,,,,
Islamic matyrs receive 72 virgins,"Nowhere in the Qu'ran, but is reported elsewhere, but is a matter of debate.",14,"2,270,000",72 virgins,,religion,Guardian,http://www.guardian.co.uk/books/2002/jan/12/books.guardianreview5,,,,
Jesus was born on December 25th,"December 25 was declared official celebration date in 350CE. Could be guesstimate based on conception, or winter solstice, or Yule.",20,"8,230,000",Jesus born 25th December,,religion,BBC,http://www.bbc.co.uk/guides/zwnsbk7,,,,
Lie detector ,"No such machine. A polygraph test detects arousal, not lies. And can be easily faked.",15,"3,510,000",,https://www.google.com/?gfe_rd=cr&ei=YP8cVreSItKs8wfKyISQDQ&gws_rd=cr#q=lie+detector,law,American Psychological Association,http://psycnet.apa.org/index.cfm?fa=search.displayRecord&uid=1998-07613-000,,,,
Lightning never strikes twice,No reason why it wouldn't; the Empire State building gets struck about 100 times per year.,16,"945,000","""lightning never strikes twice""",,physics,The National Severe Storms Laboratory,http://www.nssl.noaa.gov/education/svrwx101/lightning/faq/,,,,
Lincoln freed all slaves,He instigated the process but full abolition didn't occur until three years later after the Emancipation Proclamation.,17,"4,080,000",y,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&sclient=psy-ab&q=%22Lincoln%22+freed+all+slaves&oq=%22Lincoln%22+freed+all+slaves&gs_l=serp.12..0j0i5i30j0i8i30j0i22.292090.302265.21.303561.23.23.0.0.0.1.291.2644.14j7j2.23.0.les%3B..0.0...1c.1.Zhs-RB2dTmY&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",history,Time Magazine,"http://www.time.com/time/nation/article/0,8599,1815936,00.html",,,,
LSD stays in the spinal fluid for years,LSD is eliminated by the body in under 10 hours.,10,"39,000",LSD spinal fluid,,drugs,"Erowid, Medscape, PubMed",http://www.erowid.org/chemicals/lsd/lsd_myth1.shtml,http://emedicine.medscape.com/article/1011615-overview,http://www.ncbi.nlm.nih.gov/pubmed/8912957,,
Marijuana is a gateway drug,Most pot users don't go on to harder drugs. Those who do are probably influenced by social and other factors.,20,"767,000",,https://www.google.co.uk/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=marijuana+gateway+,drugs,"UK Govt., Substance Use and Misuse",http://www.drugabuse.gov/publications/marijuana/marijuana-gateway-drug,http://www.tandfonline.com/doi/abs/10.3109/10826084.2015.1007679,,,
Men think about sex every 7 seconds,It's not been measured. But is greatly exaggerated.,8,"309,000","y, ""men think about sex every 7 seconds""",https://www.google.co.uk/search?hl=en&safe=off&tbo=d&biw=1375&bih=700&q=%22men+think+about+sex+every+7+seconds%22&oq=%22men+think+about+sex+every+7+seconds%22&gs_l=serp.3..0j0i30j0i5i30l2j0i8i30l2j0i22.7478.9878.0.10538.2.2.0.0.0.0.88.167.2.2.0.les%3B..0.0...1c.1.15Ixu7eRpYA,sex,"LiveScience, The Times",http://www.livescience.com/14040-men-sex-thoughts.html,http://www.timesonline.co.uk/tol/life_and_style/article723673.ece,,,
Milk increases mucous,"In most people, just a placebo effect. There's no need to avoid dairy if you have a cold.",18,"10,100","dairy ""increases mucus""",,disease,The American Review of Respiratory Disease,http://www.ncbi.nlm.nih.gov/pubmed/2154152,,,,
Missing Persons Reports,"Police do not demand a 24 hour period before they accept a missing persons report, especially if violence is involved.",20,"634,000",y,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&sclient=psy-ab&q=%22Missing+persons+report%22+24+hours&oq=%22Missing+persons+report%22+24+hours&gs_l=serp.3..0.97778.108419.26.108814.33.33.0.0.0.0.432.4291.13j18j1j0j1.33.0.les%3B..0.0...1c.1.oFTTj6PJQUo&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",Law,"Augusta Chronicle, UK Govt., AU Govt., Canadian Centre for Child Protection, Canadian Centre for Information on Missing Adults",http://chronicle.augusta.com/stories/2008/11/17/met_483813.shtml,https://www.gov.uk/report-missing-person,http://www.missingpersons.gov.au/report-a-missing-person/overview.aspx,https://missingkids.ca/app/en/media_centre_faq,http://missingpersonsinformation.ca/resources/quick-facts-about-reporting-a-missing-adult-in-canada/
Most body heat is lost through the head,Only in infants. Or if the head is the only uncovered part of the body.,15,"434,000",What % is normally lost through the head under normal conditions?,"https://www.google.co.uk/webhp?source=search_app#hl=en&tbo=d&sclient=psy-ab&q=%22body+heat+lost%22+through+head&oq=%22body+heat+lost%22+through+head&gs_l=hp.3..0j0i30l2j0i5i30.8030.8030.0.9121.1.1.0.0.0.0.95.95.1.1.0.les%3B..0.0...1c.2.YRKvgcQ59T8&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",health,"Anesthesiology, The Guardian, BMJ",http://journals.lww.com/anesthesiology/Abstract/1990/10000/Thermoregulatory_Vasoconstriction_Decreases.11.aspx,http://www.guardian.co.uk/science/2008/dec/17/medicalresearch-humanbehaviour,http://adc.bmj.com/content/56/7/530,,
MSG causes headaches,Flavour enhancer monosodium glutamate does not generally cause headaches. Though some migraine sufferers can be triggered by glutamate.,18,"1,850,000",,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&sclient=psy-ab&q=%22MSG%22+causes+headaches&oq=%22MSG%22+causes+headaches&gs_l=serp.12..0.68345.78296.36.81519.20.20.0.0.0.0.501.3968.3j11j2j3j0j1.20.0.les%3B..0.0...1c.1.FMGnAwvoxUk&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",Science,"Tarasoff L, Monosodium L-glutamate: A double-blind study and review ",http://www.sciencedirect.com/science/article/pii/027869159390012N,https://pmc.ncbi.nlm.nih.gov/articles/PMC10537717/,,,
Mussolini's trains ran on time,Fascist propaganda. They did run on time but only because of work done before his reign.,16,"141,000",y,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&sugexp=les%3B&gs_rn=1&gs_ri=serp&tok=JMsZcZZ3e4AlhU50k5bkMw&pq=%22mussolini's%22%20trains%20run%20on%20time&cp=10&gs_id=qf&xhr=t&q=mussolini+made+the+trains+run+on+time&pf=p&tbo=d&sclient=psy-ab&oq=%22Mussolini%22+trains+run+on+time&gs_l=&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700&bs=1",history,The Independant,http://www.independent.co.uk/opinion/rear-window-making-italy-work-did-mussolini-really-get-the-trains-running-on-time-1367688.html,,,,
Napoleon was short,"A tall tale. At 5'7"", he was actually above average height for a Frenchman of the time.",17,"33,400,000",,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&spell=1&q=%22Napoleon%22+short&sa=X&ei=TdDzUOTPNKbO0QXv2YHABw&ved=0CC4QBSgA&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",history,Napoleon Foundation,http://www.napoleon.org/fr/salle_lecture/articles/files/Taillenapo_RIN_89_oct1963_2006.asp,,,,
Oil stops pasta sticking,Does not prevent sticking. But it can stop the water foaming or boiling over.,14,"5,200,000",,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&sclient=psy-ab&q=%22oil%22+stops+pasta+sticking&oq=%22oil%22+stops+pasta+sticking&gs_l=serp.3..0i13i5i30.42188.51258.29.54965.25.24.1.0.0.0.773.5361.1j14j7j6-2.24.0.les%3B..0.0...1c.1.0XUFYPBDM7g&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",Cooking,Fine Cooking,http://www.finecooking.com/articles/cooking-pasta-properly.aspx,,,,
Pilgrims wore all black,"Nope. They sported late Elizabethan in-colours: reds, yellows, purples and greens. And no buckle hats!",15,"1,490,000",y,https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700,history,Plimoth Plantation Museum,http://www.plimoth.org/learn/just-kids/homework-help/what-wear,,,,
Planes dump toilet waste at high altitude,"They're emptied on ground. Blue ice is caused accidentally. Trains used to dump on the tracks, though. Dirty trains.",19,"3,700,000",plane dump toilet,,transportation,"HowStuffWorks, WSJ",http://science.howstuffworks.com/transport/flight/modern/question314.htm,http://blogs.wsj.com/middleseat/2008/11/19/on-world-toilet-day-let-us-praise-the-airline-lav/,,,
Refreezing Food = Bad,"Whether raw or cooked, as long as the food was thawed and hasn't spoiled, it's okay to refreeze. Exception: defrosted raw meat or fish.",24,"111,000",,https://www.google.com/?gfe_rd=cr&ei=YP8cVreSItKs8wfKyISQDQ&gws_rd=cr#q=refreezing+food+bad,food,NY Times,http://well.blogs.nytimes.com/2015/10/02/ask-well-a-myth-about-refreezing-foods/?smid=nytnow-share&smprod=nytnow&_r=0,,,,
Rule of thumb,Not from a law allowing a man to hit his wife with a stick no thicker than his thumb. ,19,"1,040,000","y,  ""Rule of thumb"" beating women",https://www.google.co.uk/search?hl=en&safe=off&tbo=d&biw=1375&bih=700&q=%22Rule+of+thumb%22+beating+women&oq=%22Rule+of+thumb%22+beating+women&gs_l=serp.3..0.10461.13180.0.14223.7.7.0.0.0.2.159.733.4j3.7.0.les%3B..0.0...1c.1.1n7TzZ33izc,Etymology,"Jennifer Freyd and JQ Johnson, University of Oregon",http://dynamic.uoregon.edu/~jjf/essays/ruleofthumb.html,,,,
Salieri vs Mozart,They were friends with a little rivalry. Nothing more.,9,"5,230",,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&sugexp=les%3B&gs_rn=1&gs_ri=serp&tok=JMsZcZZ3e4AlhU50k5bkMw&pq=%22salieri%20mozart%22%20rival&cp=23&gs_id=g1&xhr=t&q=%22Salieri%20Mozart%22%20rivals&pf=p&tbo=d&sclient=psy-ab&oq=%22Salieri+Mozart%22+rivals&gs_l=&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",history,NY Times,http://www.nytimes.com/2004/12/28/arts/music/28sali.html?ei=5088&en=7d60688cd81285e2&ex=1261976400&adxnnl=1&partner=rssnyt&adxnnlx=1127322281-E5bLYNdgoI5tijOhmwxecA,,,,
Satan rules Hell,Doesn't say this anywhere in the Bible.,7,"36,600,000",Satan hell,,religion,Jehovah's Witnesses,https://www.jw.org/en/publications/magazines/g201306/is-satan-a-real-person/#?insight[search_id]=c8702e92-fd1d-401f-a6df-ae41bea1f1a3&insight[search_result_index]=2,,,,
Schizophrenia is multiple personalities,"Etymologically, it means ""split-mind"", but dissociative ""multiple personality"" disorders are different.",11,80,"schizophrenia ""multiple personalities""",,psychology,National Alliance on Mental Illness,http://www.nami.org/Template.cfm?Section=Schizophrenia9&Template=/ContentManagement/ContentDisplay.cfm&ContentID=118290,,,,
Scientific Proof,"Proof is incompatible with science which is, by its nature, provisional and self-correcting. Only Maths has proofs. ",17,"243,000,000",,https://www.google.com/?gfe_rd=cr&ei=YP8cVreSItKs8wfKyISQDQ&gws_rd=cr#q=Scientific+Proof,science,School Science and Mathematics,http://onlinelibrary.wiley.com/doi/10.1111/j.1949-8594.1996.tb10205.x/abstract,,,,
Searing meat seals in moisture.,Nope. It's for flavour.,4,"19,100",y,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&sclient=psy-ab&q=%22seraing+meat%22+seals+moisture&oq=%22seraing+meat%22+seals+moisture&gs_l=serp.3..0i13i30.59358.68350.28.68648.26.26.0.0.0.7.332.4224.0j23j2j1.26.0.les%3B..0.0...1c.1.RU_WhC5kRQk&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",Cooking,Guardian,http://www.guardian.co.uk/lifeandstyle/wordofmouth/2010/jan/26/should-you-sear-steak,,,,
Seasons are caused by the Earth's distance from the Sun.,They're actually related to the 23 degree tilt of the Earth's axis.,12,"5,070",y,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&sclient=psy-ab&q=%22seasons+caused%22+earth%27s+distance+sun&oq=%22seasons+caused%22+earth%27s+distance+sun&gs_l=serp.3..0i5i30j0i8i30l2.4563.24558.51.24942.8.8.0.0.0.1.243.983.4j3j1.8.0.les%3B..0.0...1c.1.q1oviBSIP0o&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",Science,NASA,http://istp.gsfc.nasa.gov/istp/outreach/sunearthmiscons.html,,,,
Sex reduces athletic performance ,"No physiological basis to this, could even help male athletes because of increased testosterone.",14,"27,400","sex ""before athletic performance""",,sex,"Nature, National Geographic",http://www.nature.com/news/2006/060609/full/news060605-16.html,http://news.nationalgeographic.com/news/2006/02/0222_060222_sex.html,,,
Sharks don't get cancer.,Oh yes they do. Particularly skin cancer.,7,"121,000",y,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&sclient=psy-ab&q=%22sharks+don%27t+get+cancer%22&oq=%22sharks+don%27t+get+cancer%22&gs_l=serp.3..0j0i8i10i30l2j0i8i30.37497.38289.82.41868.4.4.0.0.0.1.190.438.3j1.4.0.les%3B..0.0...1c.1.ldGHKw4iylQ&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",nature,Cancer Research,http://cancerres.aacrjournals.org/content/64/23/8485,,,,
Shaving your hair makes it thicker,"Regrown hair isn't thicker, coarser, or darker, it just appears so because it's no longer tapered.",16,"43,500",y,"https://www.google.co.uk/webhp?source=search_app#hl=en&tbo=d&sclient=psy-ab&q=%22shaving+hair%22+grows+back+thicker&oq=%22shaving+hair%22+grows+back+thicker&gs_l=hp.3..0j0i5i30j0i8i30l2.850.9633.19.10549.22.20.2.0.0.0.391.3042.7j9j2j2.20.0.les%3B..0.0...1c.1._MsfwljqUJQ&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",beauty,"Snopes, Mayoclinic",http://snopes.com/oldwives/hairgrow.asp,http://www.mayoclinic.com/health/hair-removal/an00638,,,
Single genes exist for different personality traits,Gross oversimplification; there is no 'gay gene' etc.,8,"388,000","""the gene for"" personality traits",,genetics,"The Year in Cognitive Neuroscience, Guardian, BBC News",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2805335/pdf/nyas1156-0001.pdf,http://www.guardian.co.uk/science/blog/2010/sep/09/gene-intelligence-genetic-testing,http://news.bbc.co.uk/1/hi/sci/tech/325979.stm,,
Sleeping with an electric fan on can be deadly,Big myth in Korea. Very unlikely.,6,"159,000",y,"https://www.google.co.uk/webhp?source=search_app#hl=en&tbo=d&sclient=psy-ab&q=%22fan+death%22+korea&oq=%22fan+death%22+korea&gs_l=hp.3..0l2.41494.53356.1.53639.24.24.0.0.0.0.223.2446.16j5j2.23.0.les%3B..0.0...1c.1.jzyn9Njd2Gc&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",science,"Korea Consumer Protection Board, JoongAng Daily, Esquire",http://web.archive.org/web/20070927051420/http://english.cpb.or.kr/user/bbs/code02_detail.php?av_jbno=2006071800002,http://web.archive.org/web/20070110052746/http://joongangdaily.joins.com/200409/22/200409222123324579900091009101.html,http://www.esquire.com/style/answer-fella/korean-fan-death-0209,,
Some people have a photographic memory,"No hard scientific evidence, but memory that mimics a camera is unlikely. Some people just have great memories",18,"1,700,000","""photographic memory""",,psychology,"Indianpublicmedia.org, Slate",http://indianapublicmedia.org/amomentofscience/photographic-memory/,http://www.slate.com/articles/health_and_science/science/2006/04/kaavya_syndrome.html,,,
Steep Learning Curve,"Actually means a skill that iseasy and quick to learn.Think about it. The curve justgoes up and up. ",18,"7,770,000",,https://www.google.com/?gfe_rd=cr&ei=YP8cVreSItKs8wfKyISQDQ&gws_rd=cr#q=Steep+Learning+Curve,mind,Postgraduate Medical Journal,http://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&Cmd=ShowDetailView&TermToSearch=18057179,,,,
Sugar makes children hyperactive,Studies have disproved this. ADHD still occurs in children with sugar-free diets.,12,"4,400",y,"https://www.google.co.uk/webhp?source=search_app#hl=en&tbo=d&sclient=psy-ab&q=%22caffeine+dehydrates%22+body&oq=%22caffeine+dehydrates%22+body&gs_l=hp.12..0i30j0i8i30.3250.4225.33.5373.5.5.0.0.0.0.403.874.3j0j1j0j1.5.0.les%3B..0.0...1c.1.-OkNRzM328M&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",health,"BMJ, Fullerton-Smith, Jill (2007). The Truth About Food. Bloomsbury. pp. 115–117.",http://www.bmj.com/content/337/bmj.a2769,http://books.google.co.uk/books/about/The_Truth_About_Food.html?id=5OYfGQAACAAJ&redir_esc=y,,,
Sushi is raw fish,Lost in translation. Sushi means 'sour rice' and does not always feature fish.  Sashimi means 'raw' - but isn't just fish.,21,"63,100",difficult accurate search,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&sclient=psy-ab&q=%22sushi+is+raw+fish%22&oq=%22sushi+is+raw+fish%22&gs_l=serp.12..0i30j0i8i30.11759.17467.38.19300.23.22.0.0.0.10.304.3585.5j11j5j1.22.0.les%3B..0.0...1c.1.x9oDWk4gbjY&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=656",Cooking,"Baltimore Sun, Japan Guide",http://articles.baltimoresun.com/2012-06-18/entertainment/bal-international-sushi-day_1_ra-sushi-bar-restaurant-vinegared-rice-raw-fish,http://www.japan-guide.com/e/e2038.html,,,
The 'Dark Ages',The period between the decline of the Roman Empire and the Renaissance was not that dark or backward. An historical cliche.,21,"5,940,000",,"https://www.google.com/#hl=en&tbo=d&sclient=psy-ab&q=%22the+dark+ages%22+barbaric&oq=%22the+dark+ages%22+barbaric&gs_l=hp.3...15240.19880.3.20004.15.15.0.0.0.5.215.1892.1j13j1.15.0.les%3B..0.0...1c.1.gL288Ow1JH4&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=c07a51cc249778de&biw=1079&bih=1226",history,National Review,http://www.nationalreview.com/articles/227744/not-so-dark-ages-ryan-sayre-patrico,,,,
The 5 Second Rule,"Amount of bacteria transferredto fallen food depends on howcontaminated the floor is, nothow long the food stays there.",18,"96,000,000",,https://www.google.com/?gfe_rd=cr&ei=YP8cVreSItKs8wfKyISQDQ&gws_rd=cr#q=5+second+rule,food,Journal of Applied Microbiology,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2672.2006.03171.x/full,,,,
The First Thanksgiving,Celebrations were recorded 50 years before the 'first' Thanksgiving at Plymouth Colony.,12,"1,160,000",,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&sclient=psy-ab&q=%22The+First+Thanksgiving%22+pilgrims+and+indians&oq=%22The+First+Thanksgiving%22+pilgrims+and+indians&gs_l=serp.3..0j0i22l2.27091.32881.1.33716.14.13.1.0.0.0.185.1336.9j4.13.0.les%3B..0.0...1c.1.Xu29N5lcrjY&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",history,NY Times,http://www.nytimes.com/2008/11/26/opinion/26davis.html?_r=1&th&emc=th,http://www.history.com/topics/thanksgiving/page3,,,
The Left and right brains have different capabilities,No solid functional division; some functions activate some areas more than others. Left brain can learn 'right brain' functions and vice-versa.,21,"2,600,000","""left brain"" ""right brain"" different",,brain,Neuroscience Nature reviews ,http://www.nature.com/nrn/journal/v7/n5/full/nrn1907.html,http://www.ncbi.nlm.nih.gov/pubmed/16607400,,,
The Oceans are blue because they reflect the sky,Nope. Absorption and scattering of light causes blue colour,9,644,"oceans blue ""reflect sky""",,physics,"Journal of Chemical Education, Physics Today",http://inside.mines.edu/fs_home/dwu/classes/CH353/study/Why%20is%20Water%20Blue.pdf,http://www.physicstoday.org/resource/1/phtoad/v64/i4/p44_s1?isAuthorized=no,,,
The Vomitorium,Not a room Romans used during Bacchanalian binges but the name for the entrance to a stadium. Vomiting was not a regular part of Roman dining customs.,27,"14,800",,"https://www.google.com/#hl=en&tbo=d&sclient=psy-ab&q=%22the+vomitorium%22+vomiting&oq=%22the+vomitorium%22+vomiting&gs_l=hp.3...623.1558.1.2099.8.8.0.0.0.0.110.680.7j1.8.0.les%3B..0.0...1c.1.wPJU_ODk0j8&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=c07a51cc249778de&biw=1079&bih=1226",history,"McKeown, J.C. (2010). A Cabinet of Roman Curiosities: Strange Tales and Surprising Facts from the World’s Greatest Empire",http://books.google.co.uk/books?id=YGYwlMZ3ursC&pg=PA153&dq=vomitorium+misconception&hl=en#v=onepage&q=vomitorium%20misconception&f=false,,,,
